nohup: ignoring input
[SDP] flash=False, mem_efficient=False, math=True (for higher-order gradients)
Training artifacts will be saved to: ../checkpoints/mmgj_transformer_default_2026-03-16_08-58-26

  0%|                                                                                       | 0/5000000 [00:00<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                                         | 0/5000000 [00:02<?, ?it/s]
[LGN (1/1)] P-Loss: 6.663 | M-Unroll: 76.885:   0%|                            | 1/5000000 [00:02<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 1/5000000 [00:04<3018:28:57,  2.17s/it]
[Work (1/5)] P-Loss: 48.085 | M-Loss: 130.905:   0%|                           | 2/5000000 [00:04<2823:50:57,  2.03s/it]
[Work (2/5)] P-Loss: 54.740 | M-Loss: 139.620:   0%|                           | 2/5000000 [00:05<2823:50:57,  2.03s/it]
[Work (2/5)] P-Loss: 54.740 | M-Loss: 139.620:   0%|                           | 3/5000000 [00:05<2630:57:22,  1.89s/it]
[Work (3/5)] P-Loss: 42.432 | M-Loss: 127.849:   0%|                           | 3/5000000 [00:07<2630:57:22,  1.89s/it]
[Work (3/5)] P-Loss: 42.432 | M-Loss: 127.849:   0%|                           | 4/5000000 [00:07<2555:53:55,  1.84s/it]
[Work (4/5)] P-Loss: 42.806 | M-Loss: 127.661:   0%|                           | 4/5000000 [00:09<2555:53:55,  1.84s/it]
[Work (4/5)] P-Loss: 42.806 | M-Loss: 127.661:   0%|                           | 5/5000000 [00:09<2506:42:39,  1.80s/it]
[Work (5/5)] P-Loss: 42.531 | M-Loss: 128.123:   0%|                           | 5/5000000 [00:11<2506:42:39,  1.80s/it]
[Work (5/5)] P-Loss: 42.531 | M-Loss: 128.123:   0%|                           | 6/5000000 [00:11<2507:27:49,  1.81s/it]
[LGN (1/1)] P-Loss: 5.724 | M-Unroll: 81.593:   0%|                            | 6/5000000 [00:12<2507:27:49,  1.81s/it]
